Time,Current,Voltage
0,-0.23,1.00
297,-0.23,0.85
579,-0.23,0.77
861,-0.23,0.77
1183,-0.23,0.77
1464,-0.23,0.77
1786,-0.23,0.77
2068,-0.23,0.77
2390,-0.23,0.77
2672,-0.23,0.77
2993,-0.23,0.77
3276,-0.23,0.77
3597,-0.23,0.77
3879,-0.23,0.77
4161,-0.23,0.77
4483,-0.23,0.77
4765,-0.23,0.77
5136,-0.23,0.77
5378,-0.23,0.77
5660,-0.23,0.77
5982,-0.23,0.77
6264,-0.23,0.77
6586,-0.23,0.77
6868,-0.23,0.77
7190,-0.23,0.77
7472,-0.23,0.77
7794,-0.23,0.77
8075,-0.23,0.77
8397,-0.23,0.77
8679,-0.23,0.77
8961,-0.23,0.77
9283,-0.23,0.77
9564,-0.23,0.77
9886,-0.23,0.77
10166,-0.23,0.77
10488,-0.23,0.77
10770,-0.23,0.77
11092,-0.23,0.77
11373,-0.23,0.77
11695,-0.23,0.77
11977,-0.23,0.77
12299,-0.23,0.77
12581,-0.23,0.77
12862,-0.23,0.77
13184,-0.23,0.77
13466,-0.23,0.77
13788,-0.23,0.77
14070,-0.23,0.77
14392,-0.23,0.77
14672,-0.23,0.77
14994,-0.23,0.77
15298,-0.23,0.77
15580,-0.23,0.77
15862,-0.23,0.77
16184,-0.23,0.77
16466,-0.23,0.77
16788,-0.23,0.77
17070,-0.23,0.77
17391,-0.23,0.77
17673,-0.23,0.77
17995,-0.23,0.77
18277,-0.23,0.77
18599,-0.23,0.77
18880,-0.23,0.77
19162,-0.23,0.77
19484,-0.23,0.77
19766,-0.23,0.77
20167,-0.23,0.77
20368,-0.23,0.77
20690,-0.23,0.77
20972,-0.23,0.77
21294,-0.23,0.77
21576,-0.23,0.77
21897,-0.23,0.77
22178,-0.23,0.77
22460,-0.23,0.77
22782,-0.23,0.77
23064,-0.23,0.77
23386,-0.23,0.77
23667,-0.23,0.77
23989,-0.23,0.77
24271,-0.23,0.77
24593,-0.23,0.77
24875,-0.23,0.77
25180,-0.23,0.77
25462,-0.23,0.77
25785,-0.23,0.77
26066,-0.23,0.77
26388,-0.23,0.77
26670,-0.23,0.77
26992,-0.23,0.77
27273,-0.23,0.77
27595,-0.23,0.77
27877,-0.23,0.77
28199,-0.23,0.77
28481,-0.23,0.77
28762,-0.23,0.77
29084,-0.23,0.77
29366,-0.23,0.77
29688,-0.23,0.77
29970,-0.23,0.77
30291,-0.23,0.77
30573,-0.18,0.77
30895,-0.18,0.77
31176,-0.18,0.77
31499,-0.18,0.77
31780,-0.14,0.77
32062,-0.14,0.77
32384,-0.14,0.77
32666,-0.14,0.77
32989,-0.14,0.77
33270,-0.14,0.77
33593,-0.14,0.77
33874,-0.14,0.77
34196,-0.14,0.77
34478,-0.14,0.77
34760,-0.14,0.77
35162,-0.14,5.17
35363,-0.14,7.76
35685,-0.14,9.89
35967,-0.14,10.67
36289,-0.14,11.14
36570,-0.14,11.14
36892,-0.14,11.14
37174,-0.14,11.14
37496,0.37,11.14
37778,2.59,11.14
38060,3.15,11.22
38382,2.78,11.22
38665,3.15,11.22
38986,2.64,11.22
39268,2.41,11.14
39590,3.19,11.14
39872,3.15,11.14
40177,2.91,11.14
40499,2.64,11.14
40781,2.36,11.14
41063,2.17,11.14
41385,2.13,11.14
41667,2.13,11.14
41989,2.27,11.14
42270,2.31,11.14
42593,2.22,11.14
42875,2.22,11.14
43197,2.17,11.14
43479,2.22,11.14
43800,2.27,11.14
44081,2.17,11.14
44363,2.17,11.14
44685,2.22,11.14
44967,2.27,11.14
45288,2.27,11.14
45570,2.17,11.14
45892,2.17,11.14
46174,2.13,11.14
46496,2.08,11.14
46778,2.04,11.14
47100,2.08,11.14
47381,2.04,11.14
47663,2.04,11.14
47985,2.08,11.14
48267,1.99,11.14
48589,2.08,11.14
48870,2.13,11.14
49193,2.13,11.14
49475,2.27,11.14
49797,2.17,11.14
50180,2.08,11.14
50383,1.99,11.14
50664,2.04,11.14
50986,2.08,11.14
51268,2.04,11.14
51590,2.04,11.14
51872,1.99,11.14
52194,1.99,11.14
52476,1.99,11.14
52798,2.04,11.14
53079,1.99,11.14
53361,2.04,11.14
53683,2.08,11.14
53965,2.08,11.14
54287,2.04,11.14
54569,2.17,11.14
54891,2.45,11.14
55172,2.54,11.14
55495,2.64,11.14
55777,2.82,11.14
56099,3.05,11.14
56381,3.01,11.14
56662,3.05,11.14
56983,3.10,11.14
57265,3.19,11.14
57587,3.28,11.14
57869,3.28,11.14
58191,3.33,11.14
58472,3.28,11.14
58794,3.33,11.14
59076,3.33,11.14
59399,3.38,11.14
59680,3.33,11.14
59962,3.42,11.14
60284,3.47,11.14
60566,3.65,11.14
60888,3.75,11.14
61170,3.79,11.14
61492,3.93,11.14
61774,4.02,11.14
62096,4.07,11.14
62378,4.02,11.14
62660,4.07,11.14
62982,4.07,11.14
63264,4.07,11.14
63586,4.07,11.14
63868,4.16,11.14
64190,4.16,11.14
64472,4.21,11.14
64794,4.16,11.14
65178,4.21,11.14
65380,4.21,11.14
65662,4.21,11.14
65984,4.30,11.14
66265,4.30,11.14
66587,4.30,11.14
66869,4.30,11.14
67192,4.30,11.14
67473,4.30,11.14
67795,4.35,11.14
68077,4.39,11.14
68399,4.39,11.14
68681,4.49,11.14
68963,4.53,11.14
69285,4.58,11.14
69567,4.53,11.14
69889,4.58,11.14
70169,4.58,11.14
70492,4.63,11.14
70773,4.67,11.14
71095,4.72,11.14
71377,4.76,11.14
71699,4.76,11.14
71981,4.86,11.14
72263,4.90,11.14
72585,4.95,11.14
72866,4.95,11.14
73188,4.95,11.14
73470,4.95,11.14
73792,5.04,11.14
74074,5.04,11.14
74396,5.04,11.14
74678,5.09,11.14
75000,5.13,11.14
75263,5.13,11.14
75585,5.09,11.14
75867,5.09,11.14
76189,5.13,11.14
76471,5.13,11.14
76793,5.13,11.14
77074,5.13,11.14
77396,5.13,11.14
77678,5.13,11.14
77960,5.18,11.14
78282,5.18,11.14
78564,5.18,11.14
78886,5.23,11.14
79168,5.23,11.14
79490,4.67,11.14
79772,3.84,11.14
80174,3.38,11.14
80376,2.78,11.14
80698,2.41,11.14
80980,2.36,11.14
81261,2.22,11.14
81583,2.08,11.14
81865,2.08,11.14
82187,2.04,11.14
82468,1.90,11.14
82791,2.04,11.14
83072,2.04,11.14
83394,2.08,11.14
83676,1.99,11.14
83998,1.99,11.14
84280,1.99,11.14
84562,1.94,11.14
84884,1.94,11.14
85172,1.99,11.14
85495,1.99,11.14
85777,1.99,11.14
86099,1.94,11.14
86381,1.94,11.14
86662,1.94,11.14
86984,1.94,11.14
87266,2.04,11.14
87588,1.99,11.14
87870,1.99,11.14
88192,1.99,11.14
88473,2.04,11.14
